feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
Chmp6,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0954,0.1314
Chmp7,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1408,0.1901
Chn1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1808,0.2398
Chn1os3,Group,0.6857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9605,-0.0581
Chn2,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1417,0.1911
Chordc1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1088,0.149
Chp1,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1326,0.1797
Chpf,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1566,0.2098
Chpf2,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1171,0.1598
Chpt1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.047,0.0662
Chrac1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0977,0.1345
Chrd,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0274,0.039
Chrdl1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.03,0.0427
Chrm4,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2349,0.3044
Chrna1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1255,0.1706
Chrna10,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.375,0.4594
Chrna2,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
Chrna5,Group,0.7714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5,0.585
Chrnb1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1567,0.21
Chrnb2,Group,0.3714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1702,0.2268
Chrnb4,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.7143,0.7776
Chrnd,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1749,0.2325
Chrne,Group,0.3714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7609,-0.3943
Chrng,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0976,0.1344
Chst1,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1689,0.2252
